State,Total Area
Alabama,"52,419.02"
Alaska,"663,267.26"
Arizona,"113,998.30"
Arkansas,"53,178.62"
California,"163,695.57"
Colorado,"104,093.57"
Connecticut,"5,543.33"
Delaware,"2,489.27"
District of Columbia,68.34
Florida,"65,754.59"
Georgia,"59,424.77"
Hawaii,"10,930.98"
Idaho,"83,570.08"
Illinois,"57,914.38"
Indiana,"36,417.73"
Iowa,"56,271.55"
Kansas,"82,276.84"
Kentucky,"40,409.02"
Louisiana,"51,839.70"
Maine,"35,384.65"
Maryland,"12,406.68"
Massachusetts,"10,554.57"
Michigan,"96,716.11"
Minnesota,"86,938.87"
Mississippi,"48,430.19"
Missouri,"69,704.31"
Montana,"147,042.40"
Nebraska,"77,353.73"
Nevada,"110,560.71"
New Hampshire,"9,349.94"
New Jersey,"8,721.30"
New Mexico,"121,589.48"
New York,"54,556.00"
North Carolina,"53,818.51"
North Dakota,"70,699.79"
Ohio,"44,824.90"
Oklahoma,"69,898.19"
Oregon,"98,380.64"
Pennsylvania,"46,055.24"
Rhode Island,"1,545.05"
South Carolina,"32,020.20"
South Dakota,"77,116.49"
Tennessee,"42,143.27"
Texas,"268,580.82"
Utah,"84,898.83"
Vermont,"9,614.26"
Virginia,"42,774.20"
Washington,"71,299.64"
West Virginia,"24,229.76"
Wisconsin,"65,497.82"
Wyoming,"97,813.56"
